group,metric,tanimoto_top_k,mean_needed_top_n,std_needed_top_n
15-20,combined,1,63.76,70.78
15-20,combined,2,101.81,78.69
15-20,combined,5,196.19,119.98
15-20,combined,10,251.95,101.34
15-20,rdkit,1,102.24,113.92
15-20,rdkit,2,181.0,128.39
15-20,rdkit,5,270.81,120.15
15-20,rdkit,10,335.76,78.71
15-20,zernike,1,65.24,94.21
15-20,zernike,2,97.33,93.97
15-20,zernike,5,180.38,129.36
15-20,zernike,10,224.38,124.0
20-25,combined,1,39.29,46.12
20-25,combined,2,77.38,65.73
20-25,combined,5,155.52,93.98
20-25,combined,10,234.1,93.79
20-25,rdkit,1,94.81,84.19
20-25,rdkit,2,143.86,93.34
20-25,rdkit,5,219.43,95.37
20-25,rdkit,10,285.52,81.84
20-25,zernike,1,36.57,50.48
20-25,zernike,2,76.43,80.47
20-25,zernike,5,169.52,111.58
20-25,zernike,10,266.38,141.08
25-30,combined,1,89.14,122.41
25-30,combined,2,122.62,109.71
25-30,combined,5,169.38,102.34
25-30,combined,10,228.29,95.42
25-30,rdkit,1,116.43,104.76
25-30,rdkit,2,157.24,100.54
25-30,rdkit,5,217.9,88.72
25-30,rdkit,10,270.48,66.2
25-30,zernike,1,96.86,147.35
25-30,zernike,2,120.81,145.2
25-30,zernike,5,198.76,146.53
25-30,zernike,10,295.33,129.01
