group,metric,tanimoto_top_k,mean_needed_top_n,std_needed_top_n
15-20,combined,1,63.76,70.78
15-20,combined,2,43.19,54.41
15-20,combined,5,12.71,15.15
15-20,combined,10,5.71,5.86
15-20,rdkit,1,102.24,113.92
15-20,rdkit,2,70.43,81.65
15-20,rdkit,5,35.76,39.9
15-20,rdkit,10,24.33,37.95
15-20,zernike,1,65.24,94.21
15-20,zernike,2,34.52,60.09
15-20,zernike,5,7.05,9.28
15-20,zernike,10,3.57,7.61
20-25,combined,1,39.29,46.12
20-25,combined,2,14.62,13.14
20-25,combined,5,7.81,6.85
20-25,combined,10,4.05,3.97
20-25,rdkit,1,94.81,84.19
20-25,rdkit,2,54.19,45.82
20-25,rdkit,5,23.76,15.87
20-25,rdkit,10,14.86,14.02
20-25,zernike,1,36.57,50.48
20-25,zernike,2,9.43,9.62
20-25,zernike,5,5.9,9.28
20-25,zernike,10,2.05,1.24
25-30,combined,1,89.14,122.41
25-30,combined,2,39.52,61.1
25-30,combined,5,9.95,15.25
25-30,combined,10,4.52,5.66
25-30,rdkit,1,116.43,104.76
25-30,rdkit,2,64.14,65.98
25-30,rdkit,5,26.14,29.78
25-30,rdkit,10,14.38,21.28
25-30,zernike,1,96.86,147.35
25-30,zernike,2,48.38,82.53
25-30,zernike,5,11.0,22.57
25-30,zernike,10,4.67,6.22
