metric,tanimoto_top_k,needed_top_n,positions_of_tanimoto_topk,seed,group,run_id,target_idx,needed_top_n_all,needed_top_n_at_least_one
zernike,1,36,[36],10,15-20,0,292,36,36
zernike,2,94,"[36, 94]",10,15-20,0,292,94,36
zernike,5,171,"[36, 94, 141, 53, 171]",10,15-20,0,292,171,36
zernike,10,201,"[36, 94, 141, 53, 171, 37, 201, 41, 85, 187]",10,15-20,0,292,201,36
rdkit,1,31,[31],10,15-20,0,292,31,31
rdkit,2,110,"[31, 110]",10,15-20,0,292,110,31
rdkit,5,374,"[31, 110, 374, 140, 50]",10,15-20,0,292,374,31
rdkit,10,374,"[31, 110, 374, 140, 50, 78, 121, 12, 278, 141]",10,15-20,0,292,374,12
combined,1,21,[21],10,15-20,0,292,21,21
combined,2,80,"[21, 80]",10,15-20,0,292,80,21
combined,5,285,"[21, 80, 285, 79, 67]",10,15-20,0,292,285,21
combined,10,285,"[21, 80, 285, 79, 67, 44, 130, 9, 212, 134]",10,15-20,0,292,285,9
zernike,1,252,[252],10,15-20,1,16,252,252
zernike,2,252,"[252, 2]",10,15-20,1,16,252,2
zernike,5,499,"[252, 2, 156, 499, 10]",10,15-20,1,16,499,2
zernike,10,499,"[252, 2, 156, 499, 10, 386, 5, 89, 218, 389]",10,15-20,1,16,499,2
rdkit,1,49,[49],10,15-20,1,16,49,49
rdkit,2,223,"[49, 223]",10,15-20,1,16,223,49
rdkit,5,436,"[49, 223, 150, 436, 38]",10,15-20,1,16,436,38
rdkit,10,436,"[49, 223, 150, 436, 38, 229, 3, 135, 246, 293]",10,15-20,1,16,436,3
combined,1,96,[96],10,15-20,1,16,96,96
combined,2,96,"[96, 84]",10,15-20,1,16,96,84
combined,5,499,"[96, 84, 136, 499, 17]",10,15-20,1,16,499,17
combined,10,499,"[96, 84, 136, 499, 17, 296, 1, 100, 217, 343]",10,15-20,1,16,499,1
zernike,1,20,[20],10,15-20,2,219,20,20
zernike,2,160,"[20, 160]",10,15-20,2,219,160,20
zernike,5,191,"[20, 160, 191, 17, 83]",10,15-20,2,219,191,17
zernike,10,251,"[20, 160, 191, 17, 83, 251, 2, 22, 32, 59]",10,15-20,2,219,251,2
rdkit,1,286,[286],10,15-20,2,219,286,286
rdkit,2,286,"[286, 8]",10,15-20,2,219,286,8
rdkit,5,286,"[286, 8, 83, 111, 68]",10,15-20,2,219,286,8
rdkit,10,286,"[286, 8, 83, 111, 68, 209, 79, 40, 30, 236]",10,15-20,2,219,286,8
combined,1,144,[144],10,15-20,2,219,144,144
combined,2,144,"[144, 22]",10,15-20,2,219,144,22
combined,5,144,"[144, 22, 91, 24, 36]",10,15-20,2,219,144,22
combined,10,224,"[144, 22, 91, 24, 36, 224, 8, 4, 5, 140]",10,15-20,2,219,224,4
zernike,1,1,[1],10,20-25,0,292,1,1
zernike,2,133,"[1, 133]",10,20-25,0,292,133,1
zernike,5,232,"[1, 133, 60, 4, 232]",10,20-25,0,292,232,1
zernike,10,354,"[1, 133, 60, 4, 232, 74, 194, 55, 229, 354]",10,20-25,0,292,354,1
rdkit,1,94,[94],10,20-25,0,292,94,94
rdkit,2,147,"[94, 147]",10,20-25,0,292,147,94
rdkit,5,147,"[94, 147, 34, 19, 39]",10,20-25,0,292,147,19
rdkit,10,387,"[94, 147, 34, 19, 39, 387, 307, 159, 197, 293]",10,20-25,0,292,387,19
combined,1,12,[12],10,20-25,0,292,12,12
combined,2,107,"[12, 107]",10,20-25,0,292,107,12
combined,5,113,"[12, 107, 23, 5, 113]",10,20-25,0,292,113,5
combined,10,314,"[12, 107, 23, 5, 113, 160, 209, 52, 185, 314]",10,20-25,0,292,314,5
zernike,1,32,[32],10,20-25,1,16,32,32
zernike,2,32,"[32, 2]",10,20-25,1,16,32,2
zernike,5,420,"[32, 2, 68, 420, 70]",10,20-25,1,16,420,2
zernike,10,486,"[32, 2, 68, 420, 70, 5, 21, 486, 109, 9]",10,20-25,1,16,486,2
rdkit,1,24,[24],10,20-25,1,16,24,24
